ADDRNO,TAGNAME,TAGMC,TAGLX
1,Y2_open_NCS_Value,电网调度,S
2,Y2_open_AGC_Value,AGC投入,S
3,Y2_open_AVC_Value,AVC投入,S
4,Y2_NCS_AGC_flag_Value,AGC投入反馈信号,S
5,Y2_NCS_AVC_flag_Value,AVC投入反馈信号,S
6,Y2_NCS_power_mode_1_Value,1#风机状态（运行）,S
7,Y2_NCS_stop_status_1_Value,1#风机状态（停止）,S
8,Y2_NCS_No_wind_status_1_Value,1#运行状态（正常）,S
9,Y2_NCS_Wait_wind_status_1_Value,1#运行状态（等风）,S
10,Y2_NCS_Error_Service_1_Value,1#运行状态（停止）,S
11,Y2_NCS_power_mode_2_Value,2#风机状态（运行）,S
12,Y2_NCS_stop_status_2_Value,2#风机状态（停止）,S
13,Y2_NCS_No_wind_status_2_Value,2#运行状态（正常）,S
14,Y2_NCS_Wait_wind_status_2_Value,2#运行状态（等风）,S
15,Y2_NCS_Error_Service_2_Value,2#运行状态（停止）,S
16,Y2_NCS_power_mode_3_Value,3#风机状态（运行）,S
17,Y2_NCS_stop_status_3_Value,3#风机状态（停止）,S
18,Y2_NCS_No_wind_status_3_Value,3#运行状态（正常）,S
19,Y2_NCS_Wait_wind_status_3_Value,3#运行状态（等风）,S
20,Y2_NCS_Error_Service_3_Value,3#运行状态（停止）,S
21,Y2_NCS_power_mode_4_Value,4#风机状态（运行）,S
22,Y2_NCS_stop_status_4_Value,4#风机状态（停止）,S
23,Y2_NCS_No_wind_status_4_Value,4#运行状态（正常）,S
24,Y2_NCS_Wait_wind_status_4_Value,4#运行状态（等风）,S
25,Y2_NCS_Error_Service_4_Value,4#运行状态（停止）,S
26,Y2_NCS_power_mode_5_Value,5#风机状态（运行）,S
27,Y2_NCS_stop_status_5_Value,5#风机状态（停止）,S
28,Y2_NCS_No_wind_status_5_Value,5#运行状态（正常）,S
29,Y2_NCS_Wait_wind_status_5_Value,5#运行状态（等风）,S
30,Y2_NCS_Error_Service_5_Value,5#运行状态（停止）,S
31,Y2_NCS_power_mode_6_Value,6#风机状态（运行）,S
32,Y2_NCS_stop_status_6_Value,6#风机状态（停止）,S
33,Y2_NCS_No_wind_status_6_Value,6#运行状态（正常）,S
34,Y2_NCS_Wait_wind_status_6_Value,6#运行状态（等风）,S
35,Y2_NCS_Error_Service_6_Value,6#运行状态（停止）,S
36,Y2_NCS_power_mode_7_Value,7#风机状态（运行）,S
37,Y2_NCS_stop_status_7_Value,7#风机状态（停止）,S
38,Y2_NCS_No_wind_status_7_Value,7#运行状态（正常）,S
39,Y2_NCS_Wait_wind_status_7_Value,7#运行状态（等风）,S
40,Y2_NCS_Error_Service_7_Value,7#运行状态（停止）,S
41,Y2_NCS_power_mode_8_Value,8#风机状态（运行）,S
42,Y2_NCS_stop_status_8_Value,8#风机状态（停止）,S
43,Y2_NCS_No_wind_status_8_Value,8#运行状态（正常）,S
44,Y2_NCS_Wait_wind_status_8_Value,8#运行状态（等风）,S
45,Y2_NCS_Error_Service_8_Value,8#运行状态（停止）,S
46,Y2_NCS_power_mode_9_Value,9#风机状态（运行）,S
47,Y2_NCS_stop_status_9_Value,9#风机状态（停止）,S
48,Y2_NCS_No_wind_status_9_Value,9#运行状态（正常）,S
49,Y2_NCS_Wait_wind_status_9_Value,9#运行状态（等风）,S
50,Y2_NCS_Error_Service_9_Value,9#运行状态（停止）,S
51,Y2_NCS_power_mode_10_Value,10#风机状态（运行）,S
52,Y2_NCS_stop_status_10_Value,10#风机状态（停止）,S
53,Y2_NCS_No_wind_status_10_Value,10#运行状态（正常）,S
54,Y2_NCS_Wait_wind_status_10_Value,10#运行状态（等风）,S
55,Y2_NCS_Error_Service_10_Value,10#运行状态（停止）,S
56,Y2_NCS_power_mode_11_Value,11#风机状态（运行）,S
57,Y2_NCS_stop_status_11_Value,11#风机状态（停止）,S
58,Y2_NCS_No_wind_status_11_Value,11#运行状态（正常）,S
59,Y2_NCS_Wait_wind_status_11_Value,11#运行状态（等风）,S
60,Y2_NCS_Error_Service_11_Value,11#运行状态（停止）,S
61,Y2_NCS_power_mode_12_Value,12#风机状态（运行）,S
