ADDRNO,TAGNAME,TAGMC,TAGLX
62,Y2_NCS_stop_status_12_Value,12#风机状态（停止）,S
63,Y2_NCS_No_wind_status_12_Value,12#运行状态（正常）,S
64,Y2_NCS_Wait_wind_status_12_Value,12#运行状态（等风）,S
65,Y2_NCS_Error_Service_12_Value,12#运行状态（停止）,S
66,Y2_NCS_power_mode_13_Value,13#风机状态（运行）,S
67,Y2_NCS_stop_status_13_Value,13#风机状态（停止）,S
68,Y2_NCS_No_wind_status_13_Value,13#运行状态（正常）,S
69,Y2_NCS_Wait_wind_status_13_Value,13#运行状态（等风）,S
70,Y2_NCS_Error_Service_13_Value,13#运行状态（停止）,S
71,Y2_NCS_power_mode_14_Value,14#风机状态（运行）,S
72,Y2_NCS_stop_status_14_Value,14#风机状态（停止）,S
73,Y2_NCS_No_wind_status_14_Value,14#运行状态（正常）,S
74,Y2_NCS_Wait_wind_status_14_Value,14#运行状态（等风）,S
75,Y2_NCS_Error_Service_14_Value,14#运行状态（停止）,S
76,Y2_NCS_power_mode_15_Value,15#风机状态（运行）,S
77,Y2_NCS_stop_status_15_Value,15#风机状态（停止）,S
78,Y2_NCS_No_wind_status_15_Value,15#运行状态（正常）,S
79,Y2_NCS_Wait_wind_status_15_Value,15#运行状态（等风）,S
80,Y2_NCS_Error_Service_15_Value,15#运行状态（停止）,S
81,Y2_NCS_power_mode_16_Value,16#风机状态（运行）,S
82,Y2_NCS_stop_status_16_Value,16#风机状态（停止）,S
83,Y2_NCS_No_wind_status_16_Value,16#运行状态（正常）,S
84,Y2_NCS_Wait_wind_status_16_Value,16#运行状态（等风）,S
85,Y2_NCS_Error_Service_16_Value,16#运行状态（停止）,S
86,Y2_NCS_power_mode_17_Value,17#风机状态（运行）,S
87,Y2_NCS_stop_status_17_Value,17#风机状态（停止）,S
88,Y2_NCS_No_wind_status_17_Value,17#运行状态（正常）,S
89,Y2_NCS_Wait_wind_status_17_Value,17#运行状态（等风）,S
90,Y2_NCS_Error_Service_17_Value,17#运行状态（停止）,S
91,Y2_NCS_power_mode_18_Value,18#风机状态（运行）,S
92,Y2_NCS_stop_status_18_Value,18#风机状态（停止）,S
93,Y2_NCS_No_wind_status_18_Value,18#运行状态（正常）,S
94,Y2_NCS_Wait_wind_status_18_Value,18#运行状态（等风）,S
95,Y2_NCS_Error_Service_18_Value,18#运行状态（停止）,S
96,Y2_NCS_power_mode_19_Value,19#风机状态（运行）,S
97,Y2_NCS_stop_status_19_Value,19#风机状态（停止）,S
98,Y2_NCS_No_wind_status_19_Value,19#运行状态（正常）,S
99,Y2_NCS_Wait_wind_status_19_Value,19#运行状态（等风）,S
100,Y2_NCS_Error_Service_19_Value,19#运行状态（停止）,S
101,Y2_NCS_power_mode_20_Value,20#风机状态（运行）,S
102,Y2_NCS_stop_status_20_Value,20#风机状态（停止）,S
103,Y2_NCS_No_wind_status_20_Value,20#运行状态（正常）,S
104,Y2_NCS_Wait_wind_status_20_Value,20#运行状态（等风）,S
105,Y2_NCS_Error_Service_20_Value,20#运行状态（停止）,S
106,Y2_NCS_power_mode_21_Value,21#风机状态（运行）,S
107,Y2_NCS_stop_status_21_Value,21#风机状态（停止）,S
108,Y2_NCS_No_wind_status_21_Value,21#运行状态（正常）,S
109,Y2_NCS_Wait_wind_status_21_Value,21#运行状态（等风）,S
110,Y2_NCS_Error_Service_21_Value,21#运行状态（停止）,S
111,Y2_NCS_power_mode_22_Value,22#风机状态（运行）,S
112,Y2_NCS_stop_status_22_Value,22#风机状态（停止）,S
113,Y2_NCS_No_wind_status_22_Value,22#运行状态（正常）,S
114,Y2_NCS_Wait_wind_status_22_Value,22#运行状态（等风）,S
115,Y2_NCS_Error_Service_22_Value,22#运行状态（停止）,S
116,Y2_NCS_power_mode_23_Value,23#风机状态（运行）,S
117,Y2_NCS_stop_status_23_Value,23#风机状态（停止）,S
118,Y2_NCS_No_wind_status_23_Value,23#运行状态（正常）,S
119,Y2_NCS_Wait_wind_status_23_Value,23#运行状态（等风）,S
120,Y2_NCS_Error_Service_23_Value,23#运行状态（停止）,S
121,Y2_NCS_power_mode_24_Value,24#风机状态（运行）,S
122,Y2_NCS_stop_status_24_Value,24#风机状态（停止）,S
123,Y2_NCS_No_wind_status_24_Value,24#运行状态（正常）,S
124,Y2_NCS_Wait_wind_status_24_Value,24#运行状态（等风）,S
125,Y2_NCS_Error_Service_24_Value,24#运行状态（停止）,S
126,Y2_NCS_power_mode_25_Value,25#风机状态（运行）,S
127,Y2_NCS_stop_status_25_Value,25#风机状态（停止）,S
128,Y2_NCS_No_wind_status_25_Value,25#运行状态（正常）,S
129,Y2_NCS_Wait_wind_status_25_Value,25#运行状态（等风）,S
130,Y2_NCS_Error_Service_25_Value,25#运行状态（停止）,S
131,Y2_NCS_power_mode_26_Value,26#风机状态（运行）,S
132,Y2_NCS_stop_status_26_Value,26#风机状态（停止）,S
133,Y2_NCS_No_wind_status_26_Value,26#运行状态（正常）,S
134,Y2_NCS_Wait_wind_status_26_Value,26#运行状态（等风）,S
135,Y2_NCS_Error_Service_26_Value,26#运行状态（停止）,S
136,Y2_NCS_power_mode_27_Value,27#风机状态（运行）,S
137,Y2_NCS_stop_status_27_Value,27#风机状态（停止）,S
138,Y2_NCS_No_wind_status_27_Value,27#运行状态（正常）,S
139,Y2_NCS_Wait_wind_status_27_Value,27#运行状态（等风）,S
140,Y2_NCS_Error_Service_27_Value,27#运行状态（停止）,S
141,Y2_NCS_power_mode_28_Value,28#风机状态（运行）,S
142,Y2_NCS_stop_status_28_Value,28#风机状态（停止）,S
143,Y2_NCS_No_wind_status_28_Value,28#运行状态（正常）,S
144,Y2_NCS_Wait_wind_status_28_Value,28#运行状态（等风）,S
145,Y2_NCS_Error_Service_28_Value,28#运行状态（停止）,S
146,Y2_NCS_power_mode_29_Value,29#风机状态（运行）,S
147,Y2_NCS_stop_status_29_Value,29#风机状态（停止）,S
148,Y2_NCS_No_wind_status_29_Value,29#运行状态（正常）,S
149,Y2_NCS_Wait_wind_status_29_Value,29#运行状态（等风）,S
150,Y2_NCS_Error_Service_29_Value,29#运行状态（停止）,S
151,Y2_NCS_power_mode_30_Value,30#风机状态（运行）,S
152,Y2_NCS_stop_status_30_Value,30#风机状态（停止）,S
153,Y2_NCS_No_wind_status_30_Value,30#运行状态（正常）,S
154,Y2_NCS_Wait_wind_status_30_Value,30#运行状态（等风）,S
155,Y2_NCS_Error_Service_30_Value,30#运行状态（停止）,S
156,Y2_NCS_power_mode_31_Value,31#风机状态（运行）,S
157,Y2_NCS_stop_status_31_Value,31#风机状态（停止）,S
158,Y2_NCS_No_wind_status_31_Value,31#运行状态（正常）,S
159,Y2_NCS_Wait_wind_status_31_Value,31#运行状态（等风）,S
160,Y2_NCS_Error_Service_31_Value,31#运行状态（停止）,S
161,Y2_NCS_power_mode_32_Value,32#风机状态（运行）,S
162,Y2_NCS_stop_status_32_Value,32#风机状态（停止）,S
163,Y2_NCS_No_wind_status_32_Value,32#运行状态（正常）,S
164,Y2_NCS_Wait_wind_status_32_Value,32#运行状态（等风）,S
165,Y2_NCS_Error_Service_32_Value,32#运行状态（停止）,S
166,Y2_NCS_power_mode_33_Value,33#风机状态（运行）,S
167,Y2_NCS_stop_status_33_Value,33#风机状态（停止）,S
168,Y2_NCS_No_wind_status_33_Value,33#运行状态（正常）,S
169,Y2_NCS_Wait_wind_status_33_Value,33#运行状态（等风）,S
170,Y2_NCS_Error_Service_33_Value,33#运行状态（停止）,S
171,Y2_NCS_power_mode_34_Value,34#风机状态（运行）,S
172,Y2_NCS_stop_status_34_Value,34#风机状态（停止）,S
173,Y2_NCS_No_wind_status_34_Value,34#运行状态（正常）,S
174,Y2_NCS_Wait_wind_status_34_Value,34#运行状态（等风）,S
175,Y2_NCS_Error_Service_34_Value,34#运行状态（停止）,S
176,Y2_NCS_power_mode_35_Value,35#风机状态（运行）,S
177,Y2_NCS_stop_status_35_Value,35#风机状态（停止）,S
178,Y2_NCS_No_wind_status_35_Value,35#运行状态（正常）,S
179,Y2_NCS_Wait_wind_status_35_Value,35#运行状态（等风）,S
180,Y2_NCS_Error_Service_35_Value,35#运行状态（停止）,S
181,Y2_NCS_power_mode_36_Value,36#风机状态（运行）,S
182,Y2_NCS_stop_status_36_Value,36#风机状态（停止）,S
183,Y2_NCS_No_wind_status_36_Value,36#运行状态（正常）,S
184,Y2_NCS_Wait_wind_status_36_Value,36#运行状态（等风）,S
185,Y2_NCS_Error_Service_36_Value,36#运行状态（停止）,S
186,Y2_NCS_power_mode_37_Value,37#风机状态（运行）,S
187,Y2_NCS_stop_status_37_Value,37#风机状态（停止）,S
188,Y2_NCS_No_wind_status_37_Value,37#运行状态（正常）,S
189,Y2_NCS_Wait_wind_status_37_Value,37#运行状态（等风）,S
190,Y2_NCS_Error_Service_37_Value,37#运行状态（停止）,S
191,Y2_NCS_power_mode_38_Value,38#风机状态（运行）,S
192,Y2_NCS_stop_status_38_Value,38#风机状态（停止）,S
193,Y2_NCS_No_wind_status_38_Value,38#运行状态（正常）,S
194,Y2_NCS_Wait_wind_status_38_Value,38#运行状态（等风）,S
195,Y2_NCS_Error_Service_38_Value,38#运行状态（停止）,S
196,Y2_NCS_power_mode_39_Value,39#风机状态（运行）,S
197,Y2_NCS_stop_status_39_Value,39#风机状态（停止）,S
198,Y2_NCS_No_wind_status_39_Value,39#运行状态（正常）,S
199,Y2_NCS_Wait_wind_status_39_Value,39#运行状态（等风）,S
200,Y2_NCS_Error_Service_39_Value,39#运行状态（停止）,S
201,Y2_NCS_power_mode_40_Value,40#风机状态（运行）,S
202,Y2_NCS_stop_status_40_Value,40#风机状态（停止）,S
203,Y2_NCS_No_wind_status_40_Value,40#运行状态（正常）,S
204,Y2_NCS_Wait_wind_status_40_Value,40#运行状态（等风）,S
205,Y2_NCS_Error_Service_40_Value,40#运行状态（停止）,S
206,Y2_NCS_power_mode_41_Value,41#风机状态（运行）,S
207,Y2_NCS_stop_status_41_Value,41#风机状态（停止）,S
208,Y2_NCS_No_wind_status_41_Value,41#运行状态（正常）,S
209,Y2_NCS_Wait_wind_status_41_Value,41#运行状态（等风）,S
210,Y2_NCS_Error_Service_41_Value,41#运行状态（停止）,S
211,Y2_NCS_power_mode_42_Value,42#风机状态（运行）,S
212,Y2_NCS_stop_status_42_Value,42#风机状态（停止）,S
213,Y2_NCS_No_wind_status_42_Value,42#运行状态（正常）,S
214,Y2_NCS_Wait_wind_status_42_Value,42#运行状态（等风）,S
215,Y2_NCS_Error_Service_42_Value,42#运行状态（停止）,S
216,Y2_NCS_power_mode_43_Value,43#风机状态（运行）,S
217,Y2_NCS_stop_status_43_Value,43#风机状态（停止）,S
218,Y2_NCS_No_wind_status_43_Value,43#运行状态（正常）,S
219,Y2_NCS_Wait_wind_status_43_Value,43#运行状态（等风）,S
220,Y2_NCS_Error_Service_43_Value,43#运行状态（停止）,S
221,Y2_NCS_power_mode_44_Value,44#风机状态（运行）,S
222,Y2_NCS_stop_status_44_Value,44#风机状态（停止）,S
223,Y2_NCS_No_wind_status_44_Value,44#运行状态（正常）,S
224,Y2_NCS_Wait_wind_status_44_Value,44#运行状态（等风）,S
225,Y2_NCS_Error_Service_44_Value,44#运行状态（停止）,S
226,Y2_NCS_power_mode_45_Value,45#风机状态（运行）,S
227,Y2_NCS_stop_status_45_Value,45#风机状态（停止）,S
228,Y2_NCS_No_wind_status_45_Value,45#运行状态（正常）,S
229,Y2_NCS_Wait_wind_status_45_Value,45#运行状态（等风）,S
230,Y2_NCS_Error_Service_45_Value,45#运行状态（停止）,S
231,Y2_NCS_power_mode_46_Value,46#风机状态（运行）,S
232,Y2_NCS_stop_status_46_Value,46#风机状态（停止）,S
233,Y2_NCS_No_wind_status_46_Value,46#运行状态（正常）,S
234,Y2_NCS_Wait_wind_status_46_Value,46#运行状态（等风）,S
235,Y2_NCS_Error_Service_46_Value,46#运行状态（停止）,S
236,Y2_NCS_power_mode_47_Value,47#风机状态（运行）,S
237,Y2_NCS_stop_status_47_Value,47#风机状态（停止）,S
238,Y2_NCS_No_wind_status_47_Value,47#运行状态（正常）,S
239,Y2_NCS_Wait_wind_status_47_Value,47#运行状态（等风）,S
240,Y2_NCS_Error_Service_47_Value,47#运行状态（停止）,S
241,Y2_NCS_power_mode_48_Value,48#风机状态（运行）,S
242,Y2_NCS_stop_status_48_Value,48#风机状态（停止）,S
243,Y2_NCS_No_wind_status_48_Value,48#运行状态（正常）,S
244,Y2_NCS_Wait_wind_status_48_Value,48#运行状态（等风）,S
245,Y2_NCS_Error_Service_48_Value,48#运行状态（停止）,S
246,Y2_NCS_power_mode_49_Value,49#风机状态（运行）,S
247,Y2_NCS_stop_status_49_Value,49#风机状态（停止）,S
248,Y2_NCS_No_wind_status_49_Value,49#运行状态（正常）,S
249,Y2_NCS_Wait_wind_status_49_Value,49#运行状态（等风）,S
250,Y2_NCS_Error_Service_49_Value,49#运行状态（停止）,S
251,Y2_NCS_power_mode_50_Value,50#风机状态（运行）,S
252,Y2_NCS_stop_status_50_Value,50#风机状态（停止）,S
253,Y2_NCS_No_wind_status_50_Value,50#运行状态（正常）,S
254,Y2_NCS_Wait_wind_status_50_Value,50#运行状态（等风）,S
255,Y2_NCS_Error_Service_50_Value,50#运行状态（停止）,S
